town,buffer,wateryear,metric,value
Bovill,10mibuffer,2017,coolseasondrydays1mm,78
Bovill,10mibuffer,2018,coolseasondrydays1mm,88
Bovill,10mibuffer,2019,coolseasondrydays1mm,95
Bovill,10mibuffer,2020,coolseasondrydays1mm,100
Bovill,10mibuffer,2021,coolseasondrydays1mm,100
Bovill,10mibuffer,2022,coolseasondrydays1mm,92
Bovill,10mibuffer,2023,coolseasondrydays1mm,100
Bovill,10mibuffer,2024,coolseasondrydays1mm,93
Bovill,10mibuffer,2025,coolseasondrydays1mm,92
Bovill,10mibuffer,1980,coolseasonprecip,591.4683027234752
Bovill,10mibuffer,1981,coolseasonprecip,571.9403732993162
Bovill,10mibuffer,1982,coolseasonprecip,809.2215355299093
Bovill,10mibuffer,1983,coolseasonprecip,743.8940253868781
Bovill,10mibuffer,1984,coolseasonprecip,688.7434950783152
Bovill,10mibuffer,1985,coolseasonprecip,611.3836037182185
Bovill,10mibuffer,1986,coolseasonprecip,637.3353282244237
Bovill,10mibuffer,1987,coolseasonprecip,493.84295428129565
Bovill,10mibuffer,1988,coolseasonprecip,492.1261202680503
Bovill,10mibuffer,1989,coolseasonprecip,696.6452954941083
Bovill,10mibuffer,1990,coolseasonprecip,660.7503475026965
Bovill,10mibuffer,1991,coolseasonprecip,725.2135923777928
Bovill,10mibuffer,1992,coolseasonprecip,514.1364284878641
Bovill,10mibuffer,1993,coolseasonprecip,498.2691255733998
Bovill,10mibuffer,1994,coolseasonprecip,413.5525112603251
Bovill,10mibuffer,1995,coolseasonprecip,766.2599285792733
Bovill,10mibuffer,1996,coolseasonprecip,910.822851248142
Bovill,10mibuffer,1997,coolseasonprecip,1003.2527463339488
Bovill,10mibuffer,1998,coolseasonprecip,553.5821917280934
Bovill,10mibuffer,1999,coolseasonprecip,856.8240751426572
Bovill,10mibuffer,2000,coolseasonprecip,759.9426453793186
Bovill,10mibuffer,2001,coolseasonprecip,401.7413660974242
Bovill,10mibuffer,2002,coolseasonprecip,808.4076655251473
Bovill,10mibuffer,2003,coolseasonprecip,657.667062639908
Bovill,10mibuffer,2004,coolseasonprecip,610.1216644650099
Bovill,10mibuffer,2005,coolseasonprecip,485.9503683807056
Bovill,10mibuffer,2006,coolseasonprecip,696.8140021344497
Bovill,10mibuffer,2007,coolseasonprecip,720.97794426941
Bovill,10mibuffer,2008,coolseasonprecip,749.7643746780084
Bovill,10mibuffer,2009,coolseasonprecip,647.6720063083366
Bovill,10mibuffer,2010,coolseasonprecip,387.3782793089693
Bovill,10mibuffer,2011,coolseasonprecip,793.3398261721065
Bovill,10mibuffer,2012,coolseasonprecip,697.6662156269161
Bovill,10mibuffer,2013,coolseasonprecip,598.2678260270992
Bovill,10mibuffer,2014,coolseasonprecip,613.671177462024
Bovill,10mibuffer,2015,coolseasonprecip,626.5008744343661
Bovill,10mibuffer,2016,coolseasonprecip,724.9238729602712
Bovill,10mibuffer,2017,coolseasonprecip,886.0553907845567
Bovill,10mibuffer,2018,coolseasonprecip,756.0467101767972
Bovill,10mibuffer,2019,coolseasonprecip,550.9516691658921
Bovill,10mibuffer,2020,coolseasonprecip,601.7804972130168
Bovill,10mibuffer,2021,coolseasonprecip,627.7021982337344
Bovill,10mibuffer,2022,coolseasonprecip,652.9170166520468
Bovill,10mibuffer,2023,coolseasonprecip,526.6930369031107
Bovill,10mibuffer,2024,coolseasonprecip,520.4534539636136
Bovill,10mibuffer,2025,coolseasonprecip,574.3688228228004
Bovill,10mibuffer,1980,durtmaxgt90th,0
